"Titolo","Attachments","data","msg","nome","viaggio","route-code","Risposta da Verdenatura","Lingue"
"Sivia e Michele – G206","https://www.verde-natura.it/wpsite/wp-content/uploads/IMG_20180804_153003.jpg.pdf,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG-20180813-WA0021.jpg.pdf,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG-20180813-WA0016.jpg.pdf,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG-20180813-WA0034.jpg.pdf,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG-20180802-WA0005.jpg.pdf,https://www.verde-natura.it/wpsite/wp-content/uploads/IMG-20180813-WA0018.jpg.pdf","2018-07-29","Il nostro primo viaggio esplorazione è stato un successo, favorito anche dalla splendida settimana di caldo e sole che ci ha permesso di gustare i paesaggi da ""cartolina"" delle isole Äland e della parte meridionale della Finlandia che abbiamo percorso. Le tappe che ci hanno convinto di meno sono l'uscita da Stoccolma perché si è evitato del tutto il centro, anche se alcuni luoghi come Skeppsholmen o Waldemarsudde avevano piste ciclabili, e la tappa da  Turku a Ekenas (Tammisaari) troppo lunga e per molti chilometri su strade troppo trafficate. Per quanto riguarda gli alberghi riteniamo siano nella media anche se alcuni sono stati sicuramente meglio di altri (il residence a ekenas sotto la sufficienza: caldo pazzesco, letti da fare, niente ascensore, niente breakfast). Nell'insieme siamo molto soddisfatti, ottima organizzazione e conduzione (un po' come avevamo già sperimentato nella Avenue Verte del 2013).
 Allora alla prossima!
 Silvia e Michele","Sivia e Michele","G206 - Da Stoccolma a Helsinki in bicicletta","G206","Ciao Silvia, ciao Michele, innanzitutto grazie per aver condiviso con noi la vostra esperienza, siamo stati felici di avervi con noi e di sapere che è stato lo stesso per voi.
 Riguardo ai punti su cui giustamente portate l'attenzione, vorremmo ricordare a chi legge che nel vostro caso si trattava del tour ""Esplorazione"" ed appunto per questo, studiato solo sulla carta e non effettuato prima, come accade in tutti gli altri casi, da parte nostra. Di conseguenza, come spieghiamo sempre a chi sceglie questa tipologia di viaggio, può appunto capitare che alcuni tratti del percorso non siano bellissimi, che le tappe siano più lunghe del previsto o che alcune strutture non rispondano esattamente ai nostri standard. Una volta appurato tutto ciò di persona, provvediamo sempre ad apportare gli aggiustamenti necessari. Per questo il vostro commento, assieme al giudizio di tutto il gruppo, è dunque molto prezioso per poi replicare il viaggio nella forma migliore possibile.
 In ogni caso, speriamo di riavervi presto a pedalare con noi!",""
"Erasmo M. – G231","","2014-08-22","Ottima vacanza bici/barca croazia + dalmazia","Erasmo M.","G231 - In bici e barca tra le isole della Dalmazia meridionale","G231","",""
"fabio marchesi – G231","","2017-08-19","vacanza ottima , peccato che a differenza dello scorso anno nessuna guida parlasse un po di italiano, pero ci siamo arrangiati","fabio marchesi","G231 - In bici e barca tra le isole della Dalmazia meridionale","G231","",""
"Gabriella O. – G231","","2016-09-09","Tutto ok , team cordiale e disponibile, tutto e' filato liscio non ci son stati disservizi.","Gabriella O.","G231 - In bici e barca tra le isole della Dalmazia meridionale","G231","",""
"Renato B. – G231","","2013-08-02","Decisamente positiva e con voglia di ripeterla. tutta l'organizzazione del tour è di qualità, pensata per chi va in bici. alimentazione e cucina di buona qualità, accoglienza e pulizia eccellenti. rimane una completa sensazione positiva.","Renato B.","G231 - In bici e barca tra le isole della Dalmazia meridionale","G231","",""
"C. Giorgio – G234","","2015-08-06","La vacanza è stata piacevole e rilassante, l'organizzazione aveva qualche neo ma le guide erano molto disponibili e volenterose al punto che gli si poteva perdonare il fatto che conoscessero solo qualche parola di italiano. le località interessate dal tour erano tutte molto belle, assolate e non sempre affollate. la cucina della nave è stata fantastica, la pulizia della cabina un pò meno, l'aria condizionata in cabina decisamente insufficiente a fronteggiare le elevate temperature esterne. lo staff molto affiatato ha contributo a rendere la vacanza ancora più piacevole.","C. Giorgio","G234 - Le isole del Golfo del Quarnaro in bici e barca","G234","",""
"elisa – G235","","2018-08-11","bellissimo tour, paesaggi fantastici, escursioni in bici molto carine, la barca era comoda e l'equipaggio eccellente. per fortuna quest'anno il gruppo era misto quindi bella esperienza anche per conoscere un po' le persone di diverse culture.viaggi da ripetere","elisa","G235 - I parchi nazionali della Dalmazia","G235","",""
"Loretta L. – G235","","2013-09-09","Carissimi, mi spiace solo di essere stata preceduta dalla richiesta di commenti e di non aver fatto prima io, ma il rientro ...da marte... non prevede il volo diretto e mettere di nuovo i piedi ""sulla terra"" comporta un bel po' di energia: la testa resta in vacanza.!!!
 che dire? grazie! grazie per avermi offerto la possibilità e la realtà di una settimana molto al di sopra delle attese. avevo scelto il viaggio ""a pelle"", ma non mi ero soffermata nè sui dettagli, nè sulle proposte in generale: barca e bici mi erano sufficienti per immaginare un'avventura. non avevo mai visto i posti. prima volta in tutto.
 il contatto con l'ufficio: delizioso, ho sempre parlato con persone cortesi, pazienti e non rituali. la capacità di far ""sentire"" che non si è un numero, una voce che viene dopo quella appena lasciata e prima di quella che telefonerà poco dopo è un valore aggiunto che ho apprezzato moltissimo. disponibilità per ogni dubbio (magari anche un dubbio capace di suscitare il sorriso, un'ingenuità), ma sempre presenti. la spedizione dei documenti e anche degli avvisi di scadenza date è fatta ottimamente. la documentazione fornita, sia per il percorso, sia per i suggerimenti, chiarissima, completa, a prova di inesperto. 
 il viaggio: inimmaginabile. tutto perfetto.che il gruppo fosse ottimo è un'alchmia sulla quale non si può incidere, ma abbiamo avuto anche questa buona sorte. la scelta degli itinerari, l'equilibrio nel distribuire gli sforzi e le soste, le biciclette di ottima qualità.
  il rispetto di tutti, tutti, tutti gli orari, senza isterismi, ma con precisione, tempi adeguati per andare a cambiarsi e prapararsi alla prossima attività, precisa spiegazione degli itinerari, ottima gestione delle relazioni, ottima gestione delle criticità (ne abbiamo avute poche, ma io per esempio ho ""passeggiato"" su un riccio di mare... ). 
 ottimo e abbondante il cibo, senza tuttavia sprechi; attenzione alle problematicità alimentari (io ho una piccola allergia, ma è stata prestata molta attenzione), ottima l'accoglienza con frutta fresca al rentro e la fornitura di frutta alla partenza per i giri. 
 apprezzabilissime le visite guidate, ben fatte ed equilibrate nella settimana, ottimo l'equilibrio tra bici/navigazione/natura/visite a paesi-città, un paio di momenti liberi, ma non tali da mettere a disagio chi fosse solo, equipaggio delizioso, presente, discreto, capace, disponibilità alla chiarezza nella spiegazione in inglese e poi in tedesco e poi... qualche parola anche in italiano+ mimo, all'occorrenza : ) tutto davvero ottimo.
 mi spiace dover chiudere con un appunto negativo, il solo, tuttavia. ho avuto la cabina con il letto matrimoniale sotto e il letto a castello sopra. dividevo la cabina con una sconosciuta, dunque era inevitabile che una di noi andasse su: difficile immaginare che si andasse nello stesso letto dopo una stretta di mano. purtroppo, pur essendo io arrivata prima ed avendo espresso preferenza per la parte bassa, ho ""avuto la peggio"" e son finita su. il letto sopra è decisamente più scomodo e tale da non permettere se non di stare sdraiati. ho avuto mal di testa ogni notte e mi son dovuta alzare e sgranchire sul ponte. il mio suggerimento è che quel tipo di
 cabina si dia solo a coppie così che possano condividere il letto matrimoniale, riservando eventualmente solo a dei bambini il letto sopra. questo nulla toglie al 100% di soddisfazione per questo viaggio, ma ho davvero passato notti insonni. il prossimo anno - sceglierò certamente una nuova avventura con voi- sarò chiara nel precisare che non vorrei trovarmi nella stessa condizione e farò le scelte opportune (tipologia di cabina o... vediamo, ne parleremo...): quallo che ho appena scritto vuole solo essere un contributo costruttivo.  quanto alle foto... credo che altri ne abbiano fatte di migliori delle mie e non mancheranno di inviarle. la mia macchinetta molto meno che avveniristica ha fatto un lavoro ""alla sua altezza"". ho scritto di getto e non ho tempo d rileggere: la mia lettera sarà piena di refusi che renderanno incomprensibli o divertenti un bel po' di parole. chiedo scusa, ma... finisce sempre così!
 chiudo però rinnovando il mio pieno ringraiamento per questa settimana magica che mi permette di tornare al lavoro con un sorriso pieno. a proposito: là dove lavoro tutti mi chiedono dove abbia trovato quel bel sorriso e... ovviamente... racconto e faccio una vivace pubblicità!
 grazie, grazie, grazie, con l'augurio per tutti voi di ottime cose.
 loretta","Loretta L.","G235 - I parchi nazionali della Dalmazia","G235","",""
"Marco R. – G235","https://www.verde-natura.it/wpsite/wp-content/uploads/G235-commento-01-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G235-commento-01-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G235-commento-01-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G235-commento-01-a.jpg","2012-06-09","Viaggio in croazia bici+barca nei parchi della dalmazia. settimana molto ben organizzata e molto piacevole. barca bella, cibo buono, vario e abbondante. buone le guide e l'equipaggio. fondamentale però conoscere l'inglese. un'esperienza bella ed interessante. il viaggio si vede che è stato ben studiato ed è molto rodato. nel corso della settimana c'è anche la possibilità di allungare individualmente i percorsi in bici. consigliabilissimo","Marco R.","G235 - I parchi nazionali della Dalmazia","G235","",""
"Paola – G237","https://www.verde-natura.it/wpsite/wp-content/uploads/B5A58C7C-F8E6-4A39-B32F-583E7590F342.jpeg,https://www.verde-natura.it/wpsite/wp-content/uploads/82F5AEF9-6000-42AD-8C57-78D5681B0C64.jpeg,https://www.verde-natura.it/wpsite/wp-content/uploads/3C854C70-5D17-4F9D-AF9E-4D99E7EE32DF.jpeg","2018-08-11","Abbiamo trovato magnifiche isole, sole, un  mare cobalto e  ....tanti nuovi amici! Cosa chiedere di più ad una vacanza?","Paola","G237 - Crociera multiattività tra le isole della Dalmazia","G237","",""
"Manola N. – G240","","2015-06-01","E' stata una vacanza meravigliosa. lo staff  ancora una volta e' stato molto efficiente. avrei voluto solamente pedalare di piu' per il resto i servizi e la barca sono stati perfetti. anche la cucina di giorno in giorno e' migliorata sia nella qualita' che nella quantita'","Manola N.","G240 - I parchi nazionali della Dalmazia PLUS","G240","",""
"Famiglia W. – G250","","2012-03-09","Buono il servizio sulla barca, buona la qualità dei pasti, ottimi gli accompagnatori, sia dal punto di vista professionale che umano!","Famiglia W.","G250 - Tour dei tulipani in bici e barca","G250","",""
"Silvio e Simona – G250","https://www.verde-natura.it/wpsite/wp-content/uploads/G250-commento-01-d.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G250-commento-01-c.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G250-commento-01-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G250-commento-01-a.jpg","2012-06-10","Una nuova bella esperienza diversa dal solito, sicuramente da consigliare e da rifare. piacevole e stimolante il gruppo internazionale. l'organizzazione è stata notevole. copritevi se andate in questo periodo.... bellissimi i tulipani, bellissima l'olanda!!","Silvio e Simona","G250 - Tour dei tulipani in bici e barca","G250","",""
"Manuela G. – G250","https://www.verde-natura.it/wpsite/wp-content/uploads/G250-commento-02-b.jpg,https://www.verde-natura.it/wpsite/wp-content/uploads/G250-commento-02-a.jpg","2012-04-26","E' stato un viaggio molto bello: l'olanda è un paese interessante sia dal punto di vista paesaggistico che storico e il nostro accompagnatore, marcel ci ha raccontato molte cose sulla storia e sui costumi del suo popolo,oltre ad averci mostrato le 2 città visitate: haarlem e leiden. se aggiungiamo lo spettacolo della fioritura di tulipani, crochi e giacinti questo si traduce in un 10 e lode! la sistemazione è buona, si mangia bene,il capitano della jelmar è un po'rude, ma pazienza, ma la barca è efficiente e pulita. senz'altro la sistemazione confort è da preferire (ho visto l'altra ed è un po' più sacrificata oltre ad avere troppa gente) soprattutto perchè essendoci solo 10 cabine il gruppo non è troppo numeroso. mi è piaciuta molto l'idea del gruppo internazionale: un modo per esercitare l'inglese e conoscere gente di altri paesi! a proposito,essendo l'unica italiana, ero l'unica che prendevo il latte caldo al mattino! (che però mi è stato dato..con un..sorrisetto...!!!) last but not least:l'olanda è il paradiso dei bikers: piste ciclabili ovunque in piano alla portata di tutti!","Manuela G.","G250 - Tour dei tulipani in bici e barca","G250","",""
"Daniele e Silvana V. – G250","","2015-05-30","Bellissima esperienza ! il giro dei tulipani e dei mulini a vento è molto bello ! ci siamo trovati bene nonostante tutti erano inglesi e scozzesi e la guida non parlasse italiano. il primo giorno il tempo era incerto e nel bel mezzo della biciclettata siamo stati investiti da vento e pioggia e sinceramente ci siamo detti ""ma chi ce l'ha fatto fare ??"". i nostri compagni di avventura inglesi e scozzesi non hanno fatto una piega anzi a veder loro sembrava che il tempo fosse bello e così abbiamo superato la prova e alla fine, bagnati e infreddoliti, eravamo pure soddisfatti e contenti. gli altri giorni sono stati belli con sole anche se il vento soffiava sempre sopra le nostre teste. la vita in barca per noi era una novità e pur constatando gli spazi ridotti della cabina e di tutto l'insieme abbiamo verificato la disponibilità da parte di tutti i partecipanti alla condivisione dello stare insieme nonostante la difficoltà da parte nostra della lingua. il giardino di keukenhof è stupendo come i luoghi che abbiamo attraversato con le biciclette (molto molto belle). la guida è stata molto gentile e disponibile. da migliorare : i percorsi giornalieri venivano fatti con troppa fretta e non ci davano la possibilità di fermarci per fare foto o riprese (se non rimanendo indietro ..) e l'intrattenimento serale molto scarso se non assente (con la cena alle ore 18,30 ci si ritrovava in cabina alle 21 max alle 22). nel complesso un'esperienza postivissima da rifare sicuramente ! w i tulipani e i mulini a vento ! daniele e silvana p.s. complimenti a verdenatura per l'assistenza e la gentilezza","Daniele e Silvana V.","G250 - Tour dei tulipani in bici e barca","G250","",""
